"カテゴリ","サービスID","サービス名","提供元","公式URL","サービス概要","プランID","プラン名","プラン説明","適用開始","適用終了","金額","通貨","課金","税","出典","備考"
"テクノロジー総合","apple-one","Apple One","Apple","https://www.apple.com/jp/apple-one/","iCloud+のストレージとApple TV+、Apple Music、ゲームのApple Arcadeをセットにしたサブスクリプションプラン。個人はストレージが50GB、ファミリーは200GBで5人までで共有できる。","apple-one-individual","個人","50GBストレージ込み","2023-02-01","","1200","JPY","monthly","税込","https://www.watch.impress.co.jp/docs/news/1450226.html","価格改定"
"テクノロジー総合","apple-one","Apple One","Apple","https://www.apple.com/jp/apple-one/","iCloud+のストレージとApple TV+、Apple Music、ゲームのApple Arcadeをセットにしたサブスクリプションプラン。個人はストレージが50GB、ファミリーは200GBで5人までで共有できる。","apple-one-individual","個人","50GBストレージ込み","2020-10-31","2023-01-31","1100","JPY","monthly","税込","https://www.watch.impress.co.jp/docs/news/1286568.html","サービス開始時"
"テクノロジー総合","apple-one","Apple One","Apple","https://www.apple.com/jp/apple-one/","iCloud+のストレージとApple TV+、Apple Music、ゲームのApple Arcadeをセットにしたサブスクリプションプラン。個人はストレージが50GB、ファミリーは200GBで5人までで共有できる。","apple-one-family","ファミリー","200GBストレージ込み、最大5人","2023-02-01","","1980","JPY","monthly","税込","https://www.apple.com/jp/apple-one/","価格改定"
"テクノロジー総合","apple-one","Apple One","Apple","https://www.apple.com/jp/apple-one/","iCloud+のストレージとApple TV+、Apple Music、ゲームのApple Arcadeをセットにしたサブスクリプションプラン。個人はストレージが50GB、ファミリーは200GBで5人までで共有できる。","apple-one-family","ファミリー","200GBストレージ込み、最大5人","2020-10-31","2023-01-31","1850","JPY","monthly","税込","https://www.apple.com/jp/apple-one/","サービス開始時"
"テクノロジー総合","google-one","Google One","Google","https://one.google.com/about/plans","Googleドライブのストレージ容量を拡張できるサブスクリプションサービス。プレミアム（2TB）プランではGemini、NotebookLM、Veo 3.1などGoogleのAIサービスを多数利用できる。","google-one-100gb","ベーシック（100GB）","","2019-01-01","2023-05-31","250","JPY","monthly","税込","https://one.google.com/about/plans","旧価格"
"テクノロジー総合","google-one","Google One","Google","https://one.google.com/about/plans","Googleドライブのストレージ容量を拡張できるサブスクリプションサービス。プレミアム（2TB）プランではGemini、NotebookLM、Veo 3.1などGoogleのAIサービスを多数利用できる。","google-one-100gb","ベーシック（100GB）","","2023-06-01","","290","JPY","monthly","税込","https://one.google.com/about/plans","価格改定"
"テクノロジー総合","google-one","Google One","Google","https://one.google.com/about/plans","Googleドライブのストレージ容量を拡張できるサブスクリプションサービス。プレミアム（2TB）プランではGemini、NotebookLM、Veo 3.1などGoogleのAIサービスを多数利用できる。","google-one-200gb","スタンダード（200GB）","","2019-01-01","2023-05-31","380","JPY","monthly","税込","https://one.google.com/about/plans","旧価格"
"テクノロジー総合","google-one","Google One","Google","https://one.google.com/about/plans","Googleドライブのストレージ容量を拡張できるサブスクリプションサービス。プレミアム（2TB）プランではGemini、NotebookLM、Veo 3.1などGoogleのAIサービスを多数利用できる。","google-one-200gb","スタンダード（200GB）","","2023-06-01","","440","JPY","monthly","税込","https://one.google.com/about/plans","価格改定"
"テクノロジー総合","google-one","Google One","Google","https://one.google.com/about/plans","Googleドライブのストレージ容量を拡張できるサブスクリプションサービス。プレミアム（2TB）プランではGemini、NotebookLM、Veo 3.1などGoogleのAIサービスを多数利用できる。","google-one-2tb","プレミアム（2TB）","Gemini、NotebookLM等のAIサービス含む","2019-01-01","2023-05-31","1300","JPY","monthly","税込","https://one.google.com/about/plans","旧価格"
"テクノロジー総合","google-one","Google One","Google","https://one.google.com/about/plans","Googleドライブのストレージ容量を拡張できるサブスクリプションサービス。プレミアム（2TB）プランではGemini、NotebookLM、Veo 3.1などGoogleのAIサービスを多数利用できる。","google-one-2tb","プレミアム（2TB）","Gemini、NotebookLM等のAIサービス含む","2023-06-01","","1450","JPY","monthly","税込","https://one.google.com/about/plans","価格改定"
"テクノロジー総合","amazon-prime","Amazonプライム","Amazon","https://www.amazon.co.jp/prime","配送特典（お急ぎ便・お届け日時指定便無料）に加え、Prime Video、Prime Music、Prime Gaming、Amazon Photos等が利用できる総合サブスクリプション。","amazon-prime-monthly","月額プラン","","2019-04-01","2023-08-23","408","JPY","monthly","税込","https://www.amazon.co.jp/prime","旧価格"
"テクノロジー総合","amazon-prime","Amazonプライム","Amazon","https://www.amazon.co.jp/prime","配送特典（お急ぎ便・お届け日時指定便無料）に加え、Prime Video、Prime Music、Prime Gaming、Amazon Photos等が利用できる総合サブスクリプション。","amazon-prime-monthly","月額プラン","","2023-08-24","","600","JPY","monthly","税込","https://www.amazon.co.jp/prime","価格改定"
"テクノロジー総合","amazon-prime","Amazonプライム","Amazon","https://www.amazon.co.jp/prime","配送特典（お急ぎ便・お届け日時指定便無料）に加え、Prime Video、Prime Music、Prime Gaming、Amazon Photos等が利用できる総合サブスクリプション。","amazon-prime-annual","年間プラン","","2019-04-01","2023-08-23","4900","JPY","annual","税込","https://www.amazon.co.jp/prime","旧価格"
"テクノロジー総合","amazon-prime","Amazonプライム","Amazon","https://www.amazon.co.jp/prime","配送特典（お急ぎ便・お届け日時指定便無料）に加え、Prime Video、Prime Music、Prime Gaming、Amazon Photos等が利用できる総合サブスクリプション。","amazon-prime-annual","年間プラン","","2023-08-24","","6900","JPY","annual","税込","https://www.amazon.co.jp/prime","価格改定"
