"カテゴリ","サービスID","サービス名","提供元","公式URL","サービス概要","プランID","プラン名","プラン説明","適用開始","適用終了","金額","通貨","課金","税","出典","備考"
"動画","netflix","Netflix","Netflix","https://www.netflix.com/jp/","世界最大の動画ストリーミングサービス。オリジナルコンテンツを多数制作・配信。広告付きスタンダードプランから4K対応プレミアムプランまで選べる。","netflix-ads","広告付きスタンダード","1080p、同時2画面","2022-11-04","","790","JPY","monthly","税込","https://www.netflix.com/jp/","広告付きプラン開始時"
"動画","netflix","Netflix","Netflix","https://www.netflix.com/jp/","世界最大の動画ストリーミングサービス。オリジナルコンテンツを多数制作・配信。広告付きスタンダードプランから4K対応プレミアムプランまで選べる。","netflix-standard","スタンダード","1080p、同時2画面","2023-10-19","","1490","JPY","monthly","税込","https://www.netflix.com/jp/","価格改定"
"動画","netflix","Netflix","Netflix","https://www.netflix.com/jp/","世界最大の動画ストリーミングサービス。オリジナルコンテンツを多数制作・配信。広告付きスタンダードプランから4K対応プレミアムプランまで選べる。","netflix-premium","プレミアム","4K・HDR、同時4画面","2023-10-19","","1980","JPY","monthly","税込","https://www.netflix.com/jp/","価格改定"
"動画","disney-plus","Disney+","The Walt Disney Company","https://www.disneyplus.com/ja-jp","ディズニー、ピクサー、マーベル、スター・ウォーズ、ナショナルジオグラフィックのコンテンツを中心に配信。スター枠では多様なエンタメ作品も視聴可能。","disney-plus-standard-ads","スタンダード（広告付き）","同時2画面","2024-11-14","","990","JPY","monthly","税込","https://www.disneyplus.com/ja-jp",""
"動画","disney-plus","Disney+","The Walt Disney Company","https://www.disneyplus.com/ja-jp","ディズニー、ピクサー、マーベル、スター・ウォーズ、ナショナルジオグラフィックのコンテンツを中心に配信。スター枠では多様なエンタメ作品も視聴可能。","disney-plus-standard","スタンダード","同時2画面","2024-11-14","","1320","JPY","monthly","税込","https://www.disneyplus.com/ja-jp",""
"動画","disney-plus","Disney+","The Walt Disney Company","https://www.disneyplus.com/ja-jp","ディズニー、ピクサー、マーベル、スター・ウォーズ、ナショナルジオグラフィックのコンテンツを中心に配信。スター枠では多様なエンタメ作品も視聴可能。","disney-plus-premium","プレミアム","4K・HDR、同時4画面","2024-11-14","","1650","JPY","monthly","税込","https://www.disneyplus.com/ja-jp",""
"動画","youtube-premium","YouTube Premium","Google","https://www.youtube.com/premium","YouTubeの広告なし視聴、バックグラウンド再生、オフライン再生が可能な有料プラン。YouTube Music Premiumも同時に利用できる。","youtube-premium-individual","個人","","2023-11-01","","1180","JPY","monthly","税込","https://www.youtube.com/premium","価格改定"
"動画","youtube-premium","YouTube Premium","Google","https://www.youtube.com/premium","YouTubeの広告なし視聴、バックグラウンド再生、オフライン再生が可能な有料プラン。YouTube Music Premiumも同時に利用できる。","youtube-premium-family","ファミリー","最大5人","2023-11-01","","2280","JPY","monthly","税込","https://www.youtube.com/premium","価格改定"
"動画","unext","U-NEXT","U-NEXT","https://video.unext.jp/","国内最大級の動画配信サービス。映画・ドラマ・アニメ・漫画など31万本以上のコンテンツを配信。毎月1,200ポイントが付与され、最新作の購入にも使える。","unext-standard","月額プラン","毎月1,200ポイント付与","2023-06-01","","2189","JPY","monthly","税込","https://video.unext.jp/","価格改定"
"動画","hulu","Hulu","HJホールディングス","https://www.hulu.jp/","日本テレビ傘下の動画配信サービス。日本テレビ系の人気ドラマ・バラエティが充実しており、海外ドラマも豊富に取り揃えている。","hulu-standard","月額プラン","","2022-02-01","","1026","JPY","monthly","税込","https://www.hulu.jp/","価格改定"
"動画","apple-tv-plus","Apple TV+","Apple","https://www.apple.com/jp/apple-tv-plus/","Appleが制作するオリジナルコンテンツ専門の動画配信サービス。受賞歴のある作品を多数配信。","apple-tv-plus-standard","月額プラン","ファミリー共有可能（6人まで）","2023-01-01","","900","JPY","monthly","税込","https://www.apple.com/jp/apple-tv-plus/","価格改定"
